INSTNM,Latitude,Longitude,ZIP,,,
University of Nebraska Medical Center,41.2548733,-95.9759002,68198-7815,,,
University of La Verne,34.1002277,-117.7715774,91750-4401,,,
University of Missouri-Columbia,38.9403808,-92.3277375,65211,,,
California State University-Los Angeles,34.0663797,-118.1684782,90032-8506,,,
Kennesaw State University,34.0234337,-84.6154897,30144,,,
Skidmore College,43.0959241,-73.7852385,12866,,,
Immaculata University,40.0279019,-75.5684709,19345,,,
San Jose State University,37.3351874,-121.8810715,95192-0001,,,
Linfield University-Online and Continuing Education,45.2030604,-123.2006564,97128-6894,,,
Spartan College of Aeronautics and Technology,36.1763534,-95.8788909,92509-8716,,,
University of California-Berkeley,37.870151,-122.2594606,94720,,,
Belmont University,36.1329081,-86.7941702,37212-3757,,,
University of New England,43.4582904,-70.3865402,04005-9599,,,
Regis University,39.7896087,-105.0302396,80221-1099,,,
University of North Carolina Wilmington,34.223874,-77.8696036,28403-5963,,,
University of California-Davis,38.5382322,-121.7617125,95616-8678,,,
University of New Hampshire-Main Campus,43.138948,-70.9370252,03824-3547,,,
University of Kentucky,38.0306511,-84.5039697,40506-0032,,,
Chamberlain University-Texas,29.8384041,-95.5603333,77041,,,
Rhodes College,35.1555409,-89.9893293,38112-1690,,,
Claremont Graduate University,34.103596,-117.7119176,91711-6160,,,
University of New Haven,41.2921105,-72.9618992,06516-1916,,,
Oakland University,42.6678782,-83.2082347,48309-4401,,,
University of California-Irvine,33.6423814,-117.8416747,92697,,,
University of Connecticut-Hartford Campus,41.7658043,-72.6733723,6103,,,
University of Connecticut-Avery Point,41.3179294,-72.0647414,06340-6097,,,
Saint Charles Borromeo Seminary-Overbrook,39.9926831,-75.2553647,19096,,,
Aviator College of Aeronautical Science & Technology - Kissimmee,28.2920578,-81.4077305,347000000,,,
Saint Elizabeth School of Nursing,40.4273842,-86.8807735,47904-9988,,,
Heritage Valley Kennedy School of Nursing,40.4728051,-80.0910186,15136,,,
Purdue University - Purdue Polytechnic Kokomo,40.486427,-86.1336033,46902,,,
Purdue University - Purdue Polytechnic Indianapolis,39.768403,-86.158068,46241,,,
Auburn University,32.5980549,-85.4942667,36849,,,
Baptist Health System School of Health Professions,29.5169589,-98.56752,78229,,,
Clarkson College,41.2594162,-95.9754795,68131-2739,,,
Kent State University at Kent,41.1438917,-81.3365012,44242-0001,,,
Mount St. Mary's University,39.6799914,-77.3486971,21727-7799,,,
Kettering College,39.6949236,-84.1924977,45429-1299,,,
Northeastern University,42.339904,-71.0898892,02115-5005,,,
Middlebury College,44.0081076,-73.1760412,5753,,,
Mount Saint Mary College,41.511404,-74.0131367,12550,,,
Ringling College of Art and Design,27.3603682,-82.548481,34234-5895,,,
University of Connecticut-Stamford,41.0560153,-73.5424155,06901-2315,,,
Benedictine University,41.7784418,-88.0952683,60532-0900,,,
Haverford College,40.0074423,-75.3051299,19041-1392,,,
Ashford University,33.301001,-111.8418139,92123,,,
St Olaf College,44.4621319,-93.1840281,55057-1098,,,
Austin Community College District,30.267153,-97.7430608,78752,,,
Valparaiso University,41.4639394,-87.0438893,46383,,,
The University of Tennessee Health Science Center,35.1408087,-90.0306161,38163,,,
University of Toledo,41.6578804,-83.6142374,43606-3390,,,
George Fox University,45.3033817,-122.9667381,97132,,,
St. Peter's Hospital College of Nursing,42.6584029,-73.8077964,12208,,,
LIM College,40.7520969,-73.9721553,10022-5268,,,
University of Louisville,38.2157954,-85.7614322,40292-0001,,,
The University of Texas at San Antonio,29.4251905,-98.4945922,78249-1644,,,
Central Connecticut State University,41.6931245,-72.7638508,6050,,,
University of Washington-Tacoma Campus,47.2454407,-122.4385162,98402-3100,,,
University of Iowa,41.6627078,-91.5549771,52242-1316,,,
Divers Institute of Technology,47.647586,-122.3407515,98103,,,
Broward College,26.0681177,-80.3943067,33301,,,
The University of the South,35.2050343,-85.9176238,37383-1000,,,
University of Hawaii at Manoa,21.299824,-157.8148228,96822-2217,,,
School of Visual Arts,40.7387621,-73.9822546,10010,,,
Louisiana State University and Agricultural & Mechanical College,30.4132579,-91.1800023,70803-2750,,,
Northcentral University,33.6413879,-111.8931655,92123,,,
St. John's College-Department of Nursing,38.981963,-76.491536,62702,,,
Western Washington University,48.7342877,-122.4866102,98225-9008,,,
University of Connecticut,41.8077414,-72.2539805,6269,,,
Pomeroy College of Nursing at Crouse Hospital,43.1012145,-76.0560526,13210-1687,,,
AdventHealth University,28.576203,-81.366495,32803,,,
DePaul University,41.9241868,-87.6541655,60604,,,
Southern California University of Health Sciences,33.9233867,-117.9821056,90604,,,
East Carolina University,35.6068806,-77.3665364,27858-4353,,,
Rice University,29.7173941,-95.4018312,77005-1827,,,
Robert Morris University,40.5213461,-80.2127179,15108-1189,,,
DeVry University-Illinois,41.9690095,-87.6770292,60563,,,
Swarthmore College,39.903833,-75.3526567,19081,,,
Middlebury Institute of International Studies at Monterey,36.5993006,-121.8970109,93940,,,
Norwich University,44.1387642,-72.6615774,05663-1035,,,
College of Saint Benedict,45.560123,-94.3217652,56374,,,
Pacific University,45.5243174,-123.1103252,97116,,,
Keiser University-Ft Lauderdale,26.1859293,-80.1640417,33309,,,
Augustana College,41.5030042,-90.5513921,61201-2296,,,
Indiana Wesleyan University-National & Global,40.5178565,-85.6677809,46953,,,
Baker University,38.7790521,-95.1893687,66006-0065,,,
University of Wisconsin-La Crosse,43.8159885,-91.2311533,54601-9959,,,
The Christ College of Nursing and Health Sciences,39.1217858,-84.5094924,45219-2989,,,
Salisbury University,38.3453519,-75.606138,21801-6862,,,
Gustavus Adolphus College,44.3241738,-93.9760205,56082-1498,,,
Concordia University-Irvine,33.6539343,-117.8105295,92612-3203,,,
Texas A & M University Health Science Center,30.5986535,-96.395875,77807,,,
SUNY College at Geneseo,42.7960069,-77.8238627,14454-1465,,,
Nazareth College,43.1028694,-77.5196056,14618-3790,,,
UPMC Mercy School of Nursing,40.4353472,-79.9864492,15219-5166,,,
SUNY Cortland,42.599001,-76.187797,13045-0900,,,
L3Harris Flight Academy,28.7796857,-81.2538623,32773,,,
National Aviation Academy of Tampa Bay,28.274347,-82.3885783,33760,,,
MyComputerCareer at Raleigh,35.767693,-78.727521,27606,,,
Lake Forest College,42.2503397,-87.8286109,60045-2338,,,
King's College,41.2502745,-75.8794058,18711-0801,,,
Shenandoah University,39.1666692,-78.1588147,22601-5195,,,
Roger Williams University School of Law,41.650929,-71.2619,02809-5171,,,
University of New Hampshire-Franklin Pierce School of Law,43.2074546,-71.5451126,03301-4197,,,
The University of Findlay,41.0545606,-83.6549481,45840-3653,,,
Trident University International,33.8057352,-118.0311763,90630-5041,,,
Wabash College,40.0369332,-86.9066712,47933-0352,,,
Rockland County BOCES-Practical Nursing Program,41.1489458,-73.9830029,10994,,,
Saint Edward's University,30.2290216,-97.7526464,78704-6489,,,
South Texas College,26.2165123,-98.2533831,78501,,,
Laboure College of Healthcare,42.2607745,-71.058278,2186,,,
University of Utah,40.7649368,-111.8421021,84112-9008,,,
Walsh College,42.5739064,-83.1476741,48083-5066,,,
Regis College,42.3510169,-71.3090972,02493-1571,,,
Saint Norbert College,44.4436106,-88.069485,54115-2099,,,
West Chester University of Pennsylvania,39.9523671,-75.5981257,19383,,,
North Central College,41.772663,-88.1440142,60540,,,
Eastern Michigan University,42.2506803,-83.624089,48197,,,
University of Connecticut-Waterbury Campus,41.5556838,-73.0385898,6702,,,
Willamette University,44.9352335,-123.0307101,97301,,,
University of Wisconsin-Eau Claire,44.7979965,-91.4996414,54701,,,
Saint John's University - Staten Island Campus,40.5795317,-74.1502007,103000000,,,
Rivier University,42.7392791,-71.4540952,3060,,,
University of Pittsburgh-Bradford,41.9483232,-78.6685975,16701,,,
Lutheran School of Nursing,38.5908803,-90.2265095,63118-3909,,,
Bowdoin College,43.9076929,-69.9639971,4011,,,
Metropolitan State University of Denver,39.7439156,-105.0046843,80217-3362,,,
Southern California Institute of Architecture,34.0436973,-118.2328262,90013-1822,,,
Pitzer College,34.1042832,-117.7050738,91711-6101,,,
Western Pennsylvania Hospital School of Nursing,40.4622127,-79.9451061,15224,,,
Edgewood College,43.060689,-89.423378,53711-1997,,,
Wheaton College,41.8695424,-88.0969325,60187-5593,,,
Carroll University,43.004312,-88.2284815,53186,,,
Tulane University of Louisiana,29.9407282,-90.1203167,70118-5698,,,
Northwood University,43.6298632,-84.2744829,48640-2398,,,
Whitworth University,47.7548728,-117.4178623,99251,,,
Florida Atlantic University,26.3737473,-80.1019023,33431-0991,,,
University of Wisconsin-Stout,44.8716186,-91.9267041,54751,,,
University of Minnesota-Rochester,44.0223461,-92.4634102,55904,,,
South Dakota State University,44.3191071,-96.7835182,57007-1898,,,
